SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
WBGK;MKM;MUKAH AIRPORT;MUKAH, SARAWAK;;MALÁSIA;N/I;2,906944;112,075
WBGL;LKH;LONG AKAH AIRPORT;LONG AKAH;;MALÁSIA;N/I;3,313056;114,783056
WBGM;MUR;MARUDI AIRPORT;MARUDI, SARAWAK;;MALÁSIA;N/I;4,1775;114,321944
WBGN;BSE;SEMATAN AIRPORT;SEMATAN;;MALÁSIA;N/I;1,813611;109,762778
WBGP;KPI;KAPIT AIRPORT;KAPIT, SARAWAK;;MALÁSIA;N/I;2,009722;112,931944
WBGQ;BKM;BA´KELALAN AIRPORT;BA´KELALAN, SARAWAK;;MALÁSIA;N/I;3,988611;115,618889
WBGR;MYY;MIRI AIRPORT;MIRI, SARAWAK;;MALÁSIA;N/I;4,325278;113,988333
WBGS;SBW;SIBU AIRPORT;SIBU, SARAWAK;;MALÁSIA;N/I;2,264167;111,9825
WBGT;...;TANJUNG MANIS AIRPORT;TANJUNG MANIS;;MALÁSIA;N/I;2,177778;111,201944
WBGU;LSU;LONG SUKANG AIRPORT;LONG SUKANG, SARAWAK;;MALÁSIA;N/I;4,552222;115,493889
WBGW;LWY;LAWAS AIRPORT;LAWAS, SARAWAK;;MALÁSIA;N/I;4,849167;115,402778
WBGZ;BBN;BARIO AIRPORT;BARIO, SARAWAK;;MALÁSIA;N/I;3,736944;115,469444
WBKA;SMM;SEMPORNA AIRPORT;SEMPORNA, SABAH;;MALÁSIA;N/I;4,449722;118,596389
WBKD;LDU;LAHAD DATU AIRPORT;LAHAD DATU, SABAH;;MALÁSIA;N/I;5,033056;118,321111
WBKG;KGU;KENINGAU AIRPORT;KENINGAU, SABAH;;MALÁSIA;N/I;5,355278;116,165
WBKK;BKI;KOTA KINABALU INTERNATIONAL AIRPORT;KOTA KINABALU, SABAH;;MALÁSIA;N/I;5,944722;116,058611
WBKL;LBU;RMAF LABUAN;LABUAN, SABAH;;MALÁSIA;N/I;5,301667;115,248333
WBKM;TMG;TOMMANGGONG AIRPORT;TOMMANGGONG;;MALÁSIA;N/I;5,399722;118,646389
WBKN;GSA;LONG PASIA AIRPORT;LONG PASIA, SABAH;;MALÁSIA;N/I;4,409444;115,718889
WBKS;SDK;SANDAKAN AIRPORT;SANDAKAN, SABAH;;MALÁSIA;N/I;5,901667;118,048611
WBKT;KUD;KUDAT AIRPORT;KUDAT, SABAH;;MALÁSIA;N/I;6,924167;116,830833
WBKW;TWU;TAWAU AIRPORT;TAWAU, SABAH;;MALÁSIA;N/I;4,313333;118,121944
WBMU;MZV;MULU AIRPORT;MULU, SARAWAK;;MALÁSIA;N/I;4,050556;114,809167
WBSB;BWN;BRUNEI INTERNATIONAL AIRPORT;BANDAR SERI BEGAWAN;;BRUNEI;N/I;4,944167;114,928333
WI1A;...;NUSAWIRU AIRPORT;PANGANDARAN, WEST JAVA;;INDONÉSIA;N/I;-7,720389;108,489939
WIAA;SBG;MAIMUN SALEH AIRPORT;SABANG, ACEH;;INDONÉSIA;N/I;5,8745;95,3416
WIBB;PKU;SULTAN SYARIF QASIM II INTERNATIONAL AIRPORT (SIMPANG TIGA AIRPORT);PEKANBARU, RIAU;;INDONÉSIA;N/I;0,460833;101,444444
WIBD;DUM;PINANG KAMPAI AIRPORT;DUMAI, RIAU;;INDONÉSIA;N/I;1,609194;101,433558
WIBR;RKI;ROKOT AIRPORT;SIPURA;;INDONÉSIA;N/I;-2,1001;99,7044
WICC;BDO;HUSEIN SASTRANEGARA INTERNATIONAL AIRPORT;BANDUNG, WEST JAVA;;INDONÉSIA;N/I;-6,900556;107,576389
WICD;CBN;PENGGUNG AIRPORT;CIREBON REGENCY, WEST JAVA;;INDONÉSIA;N/I;-6,756144;108,539672
WICM;TSY;TASIKMALAYA AIRPORT;TASIKMALAYA, WEST JAVA;;INDONÉSIA;N/I;-7,346603;108,246092
WIDD;BTH;HANG NADIM AIRPORT;BATAM, RIAU ISLANDS;;INDONÉSIA;N/I;1,120833;104,118611
WIDN;TNJ;RAJA HAJI FISABILILLAH AIRPORT (FORMERLY KIJANG AIRPORT);TANJUNG PINANG, RIAU ISLANDS;;INDONÉSIA;N/I;0,9225;104,532222
WIHH;HLP;HALIM PERDANAKUSUMA INTERNATIONAL AIRPORT;JAKARTA;;INDONÉSIA;N/I;-6,266389;106,891111
WIHL;CXP;TUNGGUL WULUNG AIRPORT;CILACAP, CENTRAL JAVA;;INDONÉSIA;N/I;-7,633333;109,05
WIII;CGK;SOEKARNO HATTA INTERNATIONAL AIRPORT;CENGKARENG, BANTEN (NEAR JAKARTA)];;INDONÉSIA;N/I;-6,125556;106,655833
WIIT;TKG;RADIN INTEN II AIRPORT (BRANTI AIRPORT);BANDAR LAMPUNG, LAMPUNG;;INDONÉSIA;N/I;-5,2425;105,178889
WIKL;...;SILAMPARI AIRPORT;LUBUK LINGGAU, MUSI RAWAS, SOUTH SUMATRA;;INDONÉSIA;N/I;-3,28;102,917222
WIMB;GNS;BINAKA AIRPORT;GUNUNGSITOLI, NORTH SUMATRA;;INDONÉSIA;N/I;1,166111;97,704444
WIME;AEG;AEK GODANG AIRPORT;PADANG SIDEMPUAN;;INDONÉSIA;N/I;1,400103;99,430453
WIMG;...;TABING AIRPORT (MINANGKABAU INTERNATIONAL AIRPORT);PADANG, WEST SUMATRA;;INDONÉSIA;N/I;-0,8807;100,3539
WIMK;MES;POLONIA INTERNATIONAL AIRPORT;MEDAN, NORTH SUMATRA;;INDONÉSIA;N/I;3,558056;98,671667
WIMM;KNO;KUALA NAMU INTERNATIONAL AIRPORT;MEDAN, NORTH SUMATRA;;INDONÉSIA;N/I;3,642222;98,885278
WIOG;NPO;NANGA PINOH AIRPORT;KALIMANTAN;;INDONÉSIA;N/I;0,06362;111,473
WIOM;MWK;MATAK AIRPORT;ANAMBAS ISLANDS, RIAU PROVINCE;;INDONÉSIA;N/I;3,348119;106,25805
WION;NTX;RANAI AIRPORT;NATUNA, RIAU ISLANDS;;INDONÉSIA;N/I;3,908714;108,387897
WIOO;PNK;SUPADIO AIRPORT;PONTIANAK, WEST KALIMANTAN;;INDONÉSIA;N/I;-0,150556;109,403889
WIOP;PSU;PANGSUMA AIRPORT;PUTUSSIBAU;;INDONÉSIA;N/I;0,835556;112,936944
WIOS;SQG;SINTANG AIRPORT;SINTANG;;INDONÉSIA;N/I;0,063611;111,474722
WIPA;DJB;SULTAN THAHA AIRPORT;JAMBI;;INDONÉSIA;N/I;-1,638056;103,644444
WIPK;PGK;PANGKAL PINANG AIRPORT;PANGKAL PINANG, BANGKA BELITUNG ISLANDS;;INDONÉSIA;N/I;-2,161944;106,138889
WIPL;BKS;FATMAWATI SOEKARNO AIRPORT;BENGKULU;;INDONÉSIA;N/I;-3,861944;102,336667
WIPP;PLM;SULTAN MAHMUD BADARUDDIN II AIRPORT;PALEMBANG, SOUTH SUMATRA;;INDONÉSIA;N/I;-2,900278;104,7
WIPR;RGT;JAPURA AIRPORT;RENGAT, RIAU;;INDONÉSIA;N/I;-0,352222;102,335
WIPT;PDG;MINANGKABAU INTERNATIONAL AIRPORT (REPLACED TABING AIRPORT);KETAPING/PADANG, WEST SUMATRA;;INDONÉSIA;N/I;-0,786667;100,280556
WITT;BTJ;SULTAN ISKANDARMUDA AIRPORT (BLANG BINTANG AIRPORT);BANDA ACEH, ACEH;;INDONÉSIA;N/I;5,523333;95,420278
WMAJ;...;JENDARATA AIRPORT;JENDARATA;;MALÁSIA;N/I;3,899722;100,948611
WMAP;...;KLUANG AIRPORT;KLUANG, JOHOR;;MALÁSIA;N/I;2,043889;103,3075
WMAU;MEP;MERSING AIRPORT;MERSING, JOHOR;;MALÁSIA;N/I;2,383333;103,859444
WMBA;SWY;SITIAWAN AIRPORT;SITIAWAN, PERAK;;MALÁSIA;N/I;4,216389;100,698611
WMBI;TPG;TEKAH AIRPORT/TAIPING AIRPORT;TAIPING, PERAK;;MALÁSIA;N/I;4,863611;100,715278
WMBT;TOD;TIOMAN AIRPORT;TIOMAN ISLAND (PULAU TIOMAN), PAHANG;;MALÁSIA;N/I;2,819167;104,16
WMGK;...;RMAF GONG KEDAK;GONG KEDAK TERENGGANU;;MALÁSIA;N/I;5,798889;102,490278
WMKA;AOR;SULTAN ABDUL HALIM AIRPORT;ALOR STAR, KEDAH;;MALÁSIA;N/I;6,194444;100,400833
WMKB;BWH;RMAF BUTTERWORTH;BUTTERWORTH, PENANG;;MALÁSIA;N/I;5,466111;100,391111
WMKC;KBR;SULTAN ISMAIL PETRA AIRPORT;KOTA BHARU, KELANTAN;;MALÁSIA;N/I;6,166111;102,2925
WMKD;KUA;SULTAN HAJI AHMAD SHAH AIRPORT;KUANTAN, PAHANG;;MALÁSIA;N/I;3,769722;103,209444
WMKE;KTE;KERTEH AIRPORT;KERTEH, TERENGGANU;;MALÁSIA;N/I;4,5375;103,593333
WMKF;...;SIMPANG AIRPORT/RMAF SIMPANG;SUNGAI BESI, KUALA LUMPUR;;MALÁSIA;N/I;3,111389;101,702778
WMKI;IPH;SULTAN AZLAN SHAH AIRPORT;IPOH, PERAK;;MALÁSIA;N/I;4,569167;101,093056
WMKJ;JHB;SENAI INTERNATIONAL AIRPORT (SULTAN ISMAIL INT´L);SENAI/JOHOR BAHRU, JOHOR;;MALÁSIA;N/I;1,640556;103,670278
WMKK;KUL;KUALA LUMPUR INTERNATIONAL AIRPORT;SEPANG, SELANGOR;;MALÁSIA;N/I;2,743333;101,698056
WMKL;LGK;LANGKAWI INTERNATIONAL AIRPORT;LANGKAWI (PULAU LANGKAWI), KEDAH;;MALÁSIA;N/I;6,333333;99,733333
WMKM;MKZ;BATU BERENDAM AIRPORT (MALACCA AIRPORT);MALACCA;;MALÁSIA;N/I;2,263056;102,2525
WMKN;TGG;SULTAN MAHMUD AIRPORT;KUALA TERENGGANU, TERENGGANU;;MALÁSIA;N/I;5,381389;103,104722
WMKP;PEN;PENANG INTERNATIONAL AIRPORT;GEORGE TOWN, PENANG;;MALÁSIA;N/I;5,297222;100,276667
WMLU;...;LUTONG AIRPORT;LUTONG;;MALÁSIA;N/I;4,3375;113,994167
WMPA;PKG;PANGKOR AIRPORT;PULAU PANGKOR;;MALÁSIA;N/I;4,244722;100,553333
WMPR;RDN;REDANG AIRPORT;PULAU REDANG;;MALÁSIA;N/I;5,765278;103,006944
WMSA;SZB;SULTAN ABDUL AZIZ SHAH AIRPORT;SUBANG JAYA;;MALÁSIA;N/I;3,131111;101,548056
WPDB;UAI;SUAI AIRPORT;SUAI;;TIMOR-LESTE;N/I;-9,303889;125,286667
WPDL;DIL;PRESIDENTE NICOLAU LOBATO INTERNATIONAL AIRPORT (COMORO INT´L);DILI;;TIMOR-LESTE;N/I;-8,546553;125,524719
WPEC;BCH;CAKUNG AIRPORT;BAUCAU;;TIMOR-LESTE;N/I;-8,485278;126,399167
WPOC;OEC;OECUSSI AIRPORT;OECUSSI;;TIMOR-LESTE;N/I;-9,198333;124,352222
WPVQ;VIQ;VIQUEQUE AIRPORT;VIQUEQUE;;TIMOR-LESTE;N/I;-8,883889;126,373056
WRBB;...;SYAMSUDIN NOOR AIRPORT;BANJARMASIN, SOUTH KALIMANTAN;;INDONÉSIA;N/I;-3,442222;114,7625
WRBI;PKN;ISKANDAR AIRPORT;PANGKALAN BUN;;INDONÉSIA;N/I;-2,705;111,673056
WRBP;PKY;TJILIK RIWUT AIRPORT (PANARUNG AIRPORT);PALANGKARAYA, CENTRAL KALIMANTAN;;INDONÉSIA;N/I;-2,225;113,9425
WRLB;LBW;LONG BAWAN AIRPORT;LONG BAWAN;;INDONÉSIA;N/I;3,903111;115,692
WRLC;BXT;BONTANG AIRPORT;BONTANG;;INDONÉSIA;N/I;0,121661;117,476572
WRSC;CPF;NGLORAM AIRPORT;CEPU;;INDONÉSIA;N/I;-7,194722;111,548056
WRST;SUP;TRUNOJOYO AIRPORT;SUMENEP;;INDONÉSIA;N/I;-7,02425;113,890206
WSAG;...;SEMBAWANG AIR BASE (RSAF);SINGAPORE;;SINGAPURA;N/I;1,425278;103,812778
WSAP;QPG;PAYA LEBAR AIR BASE (RSAF);SINGAPORE;;SINGAPURA;N/I;1,360278;103,909444
WSAT;TGA;TENGAH AIR BASE (RSAF);TENGAH;;SINGAPURA;N/I;1,387222;103,708611
WSSL;XSP;SELETAR AIRPORT;SELETAR;;SINGAPURA;N/I;1,416944;103,867778
WSSS;SIN;SINGAPORE CHANGI AIRPORT/CHANGI AIR BASE (JOINT CIVILIAN-MILITARY USAGE);CHANGI;;SINGAPURA;N/I;1,359167;103,989444
YABA;ALH;ALBANY AIRPORT;ALBANY, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-34,943333;117,808889
YAMB;...;RAAF AMBERLEY;IPSWICH, QUEENSLAND;;AUSTRÁLIA;N/I;-27,640556;152,711944
YAMC;AXC;ARAMAC AIRPORT;ARAMAC, QUEENSLAND, QUEENSLAND;;AUSTRÁLIA;N/I;-22,966667;145,241667
YAMK;ADO;ANDAMOOKA AIRPORT;ANDAMOOKA, SOUTH AUSTRALIA;;AUSTRÁLIA;N/I;-30,438333;137,136667
YAPH;ABH;ALPHA AIRPORT;ALPHA, QUEENSLAND;;AUSTRÁLIA;N/I;-23,646667;146,583333
YARA;ARY;ARARAT AIRPORT;ARARAT, VICTORIA;;AUSTRÁLIA;N/I;-37,31;142,988333
YARG;GYL;ARGYLE AIRPORT;LAKE ARGYLE, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-16,636944;128,451389
YARM;ARM;ARMIDALE AIRPORT;ARMIDALE, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-30,528333;151,616667
YARY;AAB;ARRABURY AIRPORT;ARRABURY, QUEENSLAND;;AUSTRÁLIA;N/I;-26,69;141,046667
YAUR;AUU;AURUKUN AIRPORT;AURUKUN, QUEENSLAND;;AUSTRÁLIA;N/I;-13,353889;141,720833
YAYE;AYQ;AYERS ROCK AIRPORT;YULARA, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-25,186111;130,975556
YBAF;...;ARCHERFIELD AIRPORT;ARCHERFIELD, QUEENSLAND;;AUSTRÁLIA;N/I;-27,570278;153,008056
YBAR;BCI;BARCALDINE AIRPORT;BARCALDINE, QUEENSLAND;;AUSTRÁLIA;N/I;-23,565278;145,306667
YBAS;ASP;ALICE SPRINGS AIRPORT;ALICE SPRINGS, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-23,806944;133,902222
YBAU;BDD;BADU ISLAND AIRPORT;BADU ISLAND, QUEENSLAND;;AUSTRÁLIA;N/I;-10,15;142,175
YBBN;BNE;BRISBANE AIRPORT;BRISBANE, QUEENSLAND;;AUSTRÁLIA;N/I;-27,383333;153,118333
YBCG;OOL;GOLD COAST AIRPORT;COOLANGATTA, QUEENSLAND;;AUSTRÁLIA;N/I;-28,165;153,506111
YBCK;BKQ;BLACKALL AIRPORT;BLACKALL, QUEENSLAND;;AUSTRÁLIA;N/I;-24,427778;145,428611
YBCS;CNS;CAIRNS INTERNATIONAL AIRPORT;CAIRNS, QUEENSLAND;;AUSTRÁLIA;1A;-16,886667;145,7553
YBCV;CTL;CHARLEVILLE AIRPORT;CHARLEVILLE, QUEENSLAND;;AUSTRÁLIA;N/I;-26,406667;146,2625
YBDG;BXG;BENDIGO AIRPORT;BENDIGO, VICTORIA;;AUSTRÁLIA;N/I;-36,739444;144,329722
YBDV;BVI;BIRDSVILLE AIRPORT;BIRDSVILLE, QUEENSLAND;;AUSTRÁLIA;N/I;-25,8975;139,3475
YBGO;BQW;BALGO HILL AIRPORT;BALGO, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-20,148333;127,973333
YBHI;BHQ;BROKEN HILL AIRPORT;BROKEN HILL, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-32,001667;141,471667
YBHM;HTI;GREAT BARRIER REEF AIRPORT;HAMILTON ISLAND, QUEENSLAND;;AUSTRÁLIA;N/I;-20,358056;148,951667
YBIE;BEU;BEDOURIE AIRPORT;BEDOURIE, QUEENSLAND;;AUSTRÁLIA;N/I;-24,346111;139,46
YBKE;BRK;BOURKE AIRPORT;BOURKE, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-30,038333;145,951667
YBKT;BUC;BURKETOWN AIRPORT;BURKETOWN, QUEENSLAND;;AUSTRÁLIA;N/I;-17,748611;139,534444
YBLA;BLN;BENALLA AIRPORT;BENALLA, VICTORIA;;AUSTRÁLIA;N/I;-36,551667;146,006667
YBLN;BQB;BUSSELTON REGIONAL AIRPORT;BUSSELTON, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-33,687222;115,400278
YBLT;...;BALLARAT AIRPORT;BALLARAT, VICTORIA;;AUSTRÁLIA;N/I;-37,511667;143,791111
YBMA;ISA;MOUNT ISA AIRPORT;MOUNT ISA, QUEENSLAND;;AUSTRÁLIA;N/I;-20,663889;139,488611
YBMK;MKY;MACKAY AIRPORT;MACKAY, QUEENSLAND;;AUSTRÁLIA;N/I;-21,171667;149,179722
YBNA;BNK;BALLINA/BYRON GATEWAY AIRPORT;BALLINA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-28,833333;153,561667
YBNS;BSJ;BAIRNSDALE AIRPORT;BAIRNSDALE, VICTORIA;;AUSTRÁLIA;N/I;-37,8875;147,567778
YBOI;GIC;BOIGU ISLAND AIRPORT;BOIGU ISLAND, QUEENSLAND;;AUSTRÁLIA;N/I;-9,233333;142,216667
YBOK;OKY;OAKEY ARMY AVIATION CENTRE;OAKEY, QUEENSLAND;;AUSTRÁLIA;N/I;-27,411389;151,735278
YBOU;BQL;BOULIA AIRPORT;BOULIA, QUEENSLAND;;AUSTRÁLIA;N/I;-22,913333;139,899722
YBPN;PPP;PROSERPINE/WHITSUNDAY COAST AIRPORT;PROSERPINE, QUEENSLAND;;AUSTRÁLIA;N/I;-20,495;148,551667
YBRK;ROK;ROCKHAMPTON AIRPORT;ROCKHAMPTON, QUEENSLAND;;AUSTRÁLIA;N/I;-23,381667;150,475
YBRL;BOX;BORROLOOLA AIRPORT;BORROLOOLA, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-16,068056;136,300278
YBRM;BME;BROOME INTERNATIONAL AIRPORT;BROOME, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-17,949722;122,227778
YBRN;BZD;BALRANALD AIRPORT;BALRANALD, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-34,623333;143,578333
YBRS;...;BARWON HEADS AIRPORT;BARWON HEADS, VICTORIA;;AUSTRÁLIA;N/I;-38,258333;144,426667
YBRW;BWQ;BREWARRINA AIRPORT;BREWARRINA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-29,973333;146,816667
YBRY;BYP;BARIMUNYA AIRPORT;BARIMUNYA, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-22,673889;119,166111
YBSG;...;RAAF SCHERGER;WEIPA, QUEENSLAND;;AUSTRÁLIA;N/I;-12,623333;142,086667
YBSU;MCY;SUNSHINE COAST AIRPORT;MARCOOLA, SUNSHINE COAST, QUEENSLAND;;AUSTRÁLIA;N/I;-26,603333;153,091667
YBTH;BHS;BATHURST AIRPORT;BATHURST, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-33,41;149,651667
YBTI;BRT;BATHURST ISLAND AIRPORT;BATHURST ISLAND, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-11,769167;130,619722
YBTL;TSV;TOWNSVILLE INTERNATIONAL AIRPORT/RAAF TOWNSVILLE (JOINT USE);TOWNSVILLE, QUEENSLAND;;AUSTRÁLIA;N/I;-19,253333;146,765
YBTR;BLT;BLACKWATER AIRPORT;BLACKWATER, QUEENSLAND;;AUSTRÁLIA;N/I;-23,603056;148,806944
YBUD;BDB;BUNDABERG AIRPORT;BUNDABERG, QUEENSLAND;;AUSTRÁLIA;N/I;-24,903889;152,318611
YBUN;BUY;BUNBURY AIRPORT;BUNBURY, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-33,378056;115,676944
YBWN;ZBO;BOWEN AIRPORT;BOWEN, QUEENSLAND;;AUSTRÁLIA;N/I;-20,017778;148,215278
YBWP;WEI;WEIPA AIRPORT;WEIPA, QUEENSLAND;;AUSTRÁLIA;N/I;-12,678611;141,925278
YBWX;BWB;BARROW ISLAND AIRPORT;BARROW ISLAND, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-20,865833;115,404722
YCAH;CLH;COOLAH AIRPORT;COOLAH, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-31,773333;149,61
YCAR;CVQ;CARNARVON AIRPORT;CARNARVON, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-24,880556;113,672222
YCBA;CAZ;COBAR AIRPORT;COBAR, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-31,538333;145,793333
YCBB;COJ;COONABARABRAN AIRPORT;COONABARABRAN, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-31,333333;149,266667
YCBG;...;CAMBRIDGE AERODROME;CAMBRIDGE, TASMANIA;;AUSTRÁLIA;N/I;-42,826667;147,475
YCBP;CPD;COOBER PEDY AIRPORT;COOBER PEDY, SOUTH AUSTRALIA;;AUSTRÁLIA;N/I;-29,04;134,721667
YCBR;CRB;COLLARENEBRI AIRPORT;COLLARENEBRI, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-29,521667;148,581667
YCCA;CCL;CHINCHILLA AIRPORT;CHINCHILLA, QUEENSLAND;;AUSTRÁLIA;N/I;-26,769444;150,616667
YCCT;CNC;COCONUT ISLAND AIRPORT;COCONUT ISLAND, QUEENSLAND;;AUSTRÁLIA;N/I;-10,05;143,066667
YCCY;CNJ;CLONCURRY AIRPORT;CLONCURRY, QUEENSLAND;;AUSTRÁLIA;N/I;-20,668611;140,504444
YCDO;CBX;CONDOBOLIN AIRPORT;CONDOBOLIN, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-33,065;147,208333
YCDR;CUD;CALOUNDRA AIRPORT;CALOUNDRA WEST, QUEENSLAND;;AUSTRÁLIA;N/I;-26,801667;153,105
YCDU;CED;CEDUNA AIRPORT;CEDUNA, SOUTH AUSTRALIA;;AUSTRÁLIA;N/I;-32,130556;133,709722
YCEE;CVC;CLEVE AIRPORT;CLEVE, SOUTH AUSTRALIA;;AUSTRÁLIA;N/I;-33,71;136,505
YCEM;...;COLDSTREAM AIRPORT;COLDSTREAM, VICTORIA;;AUSTRÁLIA;N/I;-37,728333;145,408333
YCFS;CFS;COFFS HARBOUR AIRPORT;COFFS HARBOUR, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-30,32;153,116667
YCGO;LLG;CHILLAGOE AIRPORT;CHILLAGOE, QUEENSLAND;;AUSTRÁLIA;N/I;-17,142778;144,528889
YCHT;CXT;CHARTERS TOWERS AIRPORT;CHARTERS TOWERS, QUEENSLAND;;AUSTRÁLIA;N/I;-20,043333;146,273333
YCIN;DCN;RAAF CURTIN;DERBY, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-17,581389;123,828333
YCKI;CKI;CROKER ISLAND AIRPORT;CROKER ISLAND, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-11,165;132,483333
YCKN;CTN;COOKTOWN AIRPORT;COOKTOWN, QUEENSLAND;;AUSTRÁLIA;N/I;-15,444722;145,184444
YCMT;CMQ;CLERMONT AIRPORT;CLERMONT, QUEENSLAND;;AUSTRÁLIA;N/I;-22,773333;147,62
YCMU;CMA;CUNNAMULLA AIRPORT;CUNNAMULLA, QUEENSLAND;;AUSTRÁLIA;N/I;-28,03;145,622222
YCMW;CML;CAMOOWEAL AIRPORT;CAMOOWEAL, QUEENSLAND;;AUSTRÁLIA;N/I;-19,911667;138,125
YCNK;CES;CESSNOCK AIRPORT;CESSNOCK, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-32,788333;151,341667
YCNM;CNB;COONAMBLE AIRPORT;COONAMBLE, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-30,983333;148,375
YCOE;CUQ;COEN AIRPORT;COEN, QUEENSLAND;;AUSTRÁLIA;N/I;-13,761944;143,116667
YCOM;OOM;COOMA - SNOWY MOUNTAINS AIRPORT;COOMA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-36,3;148,973333
YCOR;CWW;COROWA AIRPORT;COROWA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-35,99;146,351667
YCRG;CYG;CORRYONG AIRPORT;CORRYONG, VICTORIA;;AUSTRÁLIA;N/I;-36,182778;147,887778
YCRK;CXQ;CHRISTMAS CREEK AIRPORT;CHRISTMAS CREEK STATION, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-18,883333;125,916667
YCTM;CMD;COOTAMUNDRA AIRPORT;COOTAMUNDRA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-34,625;148,035
YCUE;CUY;CUE AIRPORT;CUE, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-27,446667;117,918333
YCWA;CJF;COONDEWANNA AIRPORT;COONDEWANNA, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-22,966667;118,802222
YCWL;CCW;COWELL AIRPORT;COWELL, SOUTH AUSTRALIA;;AUSTRÁLIA;N/I;-33,666667;136,891667
YCWR;CWT;COWRA AIRPORT;COWRA, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-33,845;148,648333
YCWY;COY;COOLAWANYAH STATION AIRPORT;COOLAWANYAH STATION, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-21,794167;117,759167
YDAY;DBY;DALBY AIRPORT;DALBY;;AUSTRÁLIA;N/I;-26,580799;151,841003
YDBI;DRN;DIRRANBANDI AIRPORT;DIRRANBANDI, QUEENSLAND;;AUSTRÁLIA;N/I;-28,591667;148,216667
YDBY;DRB;DERBY AIRPORT;DERBY, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-17,37;123,660556
YDKI;DKI;DUNK ISLAND AIRPORT;DUNK ISLAND, AUSTRALIA;;AUSTRÁLIA;N/I;-17,941667;146,14
YDLQ;DNQ;DENILIQUIN AIRPORT;DENILIQUIN, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-35,56;144,946667
YDMG;DMD;DOOMADGEE AIRPORT;DOOMADGEE, QUEENSLAND;;AUSTRÁLIA;N/I;-17,94;138,821667
YDOC;...;DOCHRA AIRFIELD;SINGLETON, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-32,65;151,208333
YDPO;DPO;DEVONPORT AIRPORT;DEVONPORT, TASMANIA;;AUSTRÁLIA;N/I;-41,169722;146,430278
YDYS;DYA;DYSART AIRPORT;DYSART, QUEENSLAND;;AUSTRÁLIA;N/I;-22,622222;148,363889
YECH;ECH;ECHUCA AIRPORT;ECHUCA, VICTORIA;;AUSTRÁLIA;N/I;-36,157222;144,761944
YELD;ELC;ELCHO ISLAND AIRPORT;ELCHO ISLAND, NORTHERN TERRITORY;;AUSTRÁLIA;N/I;-12,02;135,57
YEML;EMD;EMERALD AIRPORT;EMERALD, QUEENSLAND;;AUSTRÁLIA;N/I;-23,5675;148,179167
YESE;ERQ;ELROSE AIRPORT;ELOISE COPPER MINE, QUEENSLAND;;AUSTRÁLIA;N/I;-20,976111;141,006389
YESP;EPR;ESPERANCE AIRPORT;ESPERANCE, WESTERN AUSTRALIA;;AUSTRÁLIA;N/I;-33,684444;121,822778
YEVD;EVH;EVANS HEAD MEMORIAL AERODROME;EVANS HEAD, NEW SOUTH WALES;;AUSTRÁLIA;N/I;-29,093333;153,42
