SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBBD;BBD;CURTIS FIELD;BRADY, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,179167;-99,323889
KBBG;BKG;BRANSON AIRPORT (CURRENTLY UNNAMED);HOLLISTER, MISSOURI/BRANSON, MISSOURI;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,531944;-93,200556
KBBP;BTN;MARLBORO COUNTY JETPORT (H.E. AVENT FIELD);BENNETTSVILLE, SOUTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,621667;-79,734444
KBBW;BBW;BROKEN BOW MUNICIPAL AIRPORT;BROKEN BOW, NEBRASKA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,436389;-99,642222
KBCB;BCB;VIRGINIATECH/MONTGOMERY EXECUTIVE AIRPORT;BLACKSBURG, VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,207778;-80,407778
KBCE;BCE;BRYCE CANYON AIRPORT;BRYCE CANYON, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,706389;-112,145
KBCK;BCK;BLACK RIVER FALLS AREA AIRPORT;BLACK RIVER FALLS, WISCONSIN;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,250833;-90,855278
KBCT;BCT;BOCA RATON AIRPORT;BOCA RATON, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;26,378611;-80,107778
KBDE;BDE;BAUDETTE INTERNATIONAL AIRPORT;BAUDETTE, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;48,728333;-94,612222
KBDG;BDG;BLANDING MUNICIPAL AIRPORT;BLANDING, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,583333;-109,483333
KBDL;BDL;BRADLEY INTERNATIONAL AIRPORT;WINDSOR LOCKS, CONNECTICUT (NEAR HARTFORD);;ESTADOS UNIDOS DA AMÉRICA;N/I;41,938889;-72,683333
KBDN;BDN;BEND MUNICIPAL AIRPORT;BEND, OREGON;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,094444;-121,2
KBDQ;...;MORRILTON MUNICIPAL AIRPORT;MORRILTON, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,136111;-92,713611
KBDR;BDR;IGOR I. SIKORSKY MEMORIAL AIRPORT;BRIDGEPORT, CONNECTICUT;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,163333;-73,126111
KBEC;BEC;BEECH FACTORY AIRPORT;WICHITA, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,694444;-97,215
KBED;BED;LAURENCE G. HANSCOM FIELD;BEDFORD, MASSACHUSETTS;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,47;-71,288889
KBEH;BEH;SOUTHWEST MICHIGAN REGIONAL AIRPORT;BENTON HARBOR, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,128611;-86,426111
